title,text,llm_justification,Monetary_Financial,Inflation_Prices,Real_Economic_Activity,Labor_Consumption,Fiscal_Government,External_Sector
"Trade policy concerns temper US$ strength, lifting ringgit","The ISM Index for the services sector edged up to 54.5 points in May, up from 53.6 points in April, while the ADP Employment Change increased by 122,000 in May, beating consensus estimates of 118,000.",Services sector ISM expanding and ADP employment growth exceeding consensus both signal strengthening aggregate activity and labor market momentum.,0.0,0.0,1.0,1.0,0.0,0.0
"Trade policy concerns temper US$ strength, lifting ringgit","""Following this, there are indications businesses might want to pass on the additional cost to the consumers.","Indicates potential for second-round price pass-through effects, which would escalate inflationary pressure beyond initial input costs.",0.0,2.0,0.0,0.0,0.0,0.0
"Trade policy concerns temper US$ strength, lifting ringgit","The latest announcement by the US trade representative suggests protectionist policies on international trade are here to stay, leading to a higher cost of doing business, which continues to dampen the sentiment,” Mohd Afzanizam elaborated.","Protectionist trade policies increase operational costs and dampen business activity and sentiment. Higher cost of doing business directly pressures inflation and real activity, while trade restrictions burden external sector. No signals for monetary, labor, or fiscal domains.",0.0,2.0,2.0,0.0,0.0,2.0
"Trade policy concerns temper US$ strength, lifting ringgit","Back home, the ringgit traded higher against a basket of major currencies.",A discrete tracking of a domestic currency against a trade-weighted basket represents a neutral data observation without directive sentiment or structural momentum.,0.0,0.0,0.0,0.0,0.0,3.0
"Trade policy concerns temper US$ strength, lifting ringgit","It rose against the British pound to 5.3613/3707 from 5.3727/3775, strengthened against the euro to 4.6357/6438 from 4.6400/6440, and improved versus the Japanese yen to 2.4966/5011 from 2.5005/5027 at Monday’s close.","The sentence purely tracks objective exchange rate fluctuations against three currencies. There is no indication of systemic stress, macro volatility, or trade disruption—it is baseline performance tracking.",0.0,0.0,0.0,0.0,0.0,3.0
"Trade policy concerns temper US$ strength, lifting ringgit",The local currency traded mixed against regional peers.,"The term 'traded mixed' indicates a balanced, non-directional movement against peer currencies, reflecting flat or offsetting external sector performance without systemic stress or structural appreciation.",0.0,0.0,0.0,0.0,0.0,3.0
"Trade policy concerns temper US$ strength, lifting ringgit",It went up against the Singapore dollar to 3.1121/1178 from 3.1164/1193.,"The sentence describes a minor intraday forex movement without any causal context regarding systemic pressures, supply shocks, or policy implications. The narrow bid-ask change lacks directional signals relevant to macro trade balance or external stability.",0.0,0.0,0.0,0.0,0.0,3.0
"Trade policy concerns temper US$ strength, lifting ringgit",The ringgit was also slightly higher against the Indonesian rupiah at 222.2/222.7 versus 222.3/222.7 and traded flat against the Philippine peso at 6.47/6.48 since Monday’s close.,The sentence describes a marginal intra-currency fluctuation and a flat comparison against a second currency. These movements are within normal bandwidth and carry no signal of systemic external sector directional momentum or strain.,0.0,0.0,0.0,0.0,0.0,3.0
"Trade policy concerns temper US$ strength, lifting ringgit","It, however, eased against the Thai baht to 12.2051/2343 from 12.1825/1988 previously.","The sentence reports a minor, flat tracking movement of a specific exchange rate pair against the Thai baht, representing objective daily forex data without any systemic shock or directional momentum.",0.0,0.0,0.0,0.0,0.0,3.0
"Human Resources Ministry will continue strengthening TVET ecosystem to meet global challenges, says Ramanan","PUTRAJAYA: The Human Resources Ministry will continue strengthening the Technical and Vocational Education and Training (TVET) ecosystem to ensure the country has a highly skilled workforce capable of meeting global economic challenges that are being increasingly driven by artificial intelligence (AI), automation and industrial digitalisation, says Datuk Seri R. Ramanan.","A formal government ministry announcement to structurally expand national vocational training and upskilling capacity represents a systemic fiscal and labor initiative to improve long-term productive capacity, directly strengthening the labor force and fiscal intent.",0.0,0.0,1.0,1.0,1.0,1.0
"Human Resources Ministry will continue strengthening TVET ecosystem to meet global challenges, says Ramanan",The Human Resources Minister said TVET is now among the country's strategic agenda and is no longer just a skills training system.,"Elevating TVET to a national strategic agenda signifies a structural government commitment to enhancing workforce skills, which strengthens human capital and labor productivity while implying potential fiscal investment in training infrastructure.",0.0,0.0,0.0,1.0,1.0,0.0
"Human Resources Ministry will continue strengthening TVET ecosystem to meet global challenges, says Ramanan","""TVET is not just a skills training system, but the foundation for economic resilience, industrial strength and the future of the country's competitiveness,"" he said in a statement in conjunction with the 2026 National TVET Day celebration here on Wednesday (June 3).","The statement is a forward-looking, structural policy declaration from government leadership explicitly linking the TVET system to national economic resilience, industrial strength, and external competitiveness. Such institutional shifts alter market expectations immediately. Accordingly, it signals expansionary vectors for industrial capacity, labor force quality, fiscal commitment, and trade competitiveness.",0.0,0.0,1.0,1.0,1.0,1.0
"Human Resources Ministry will continue strengthening TVET ecosystem to meet global challenges, says Ramanan","He added that the ministry's TVET initiative would continue to strengthen the country's talent development through industry-based training, supported by the active participation of the Industry Lead Body (ILB) and Future Skills Talent Council (FSTC).","The sentence describes a government ministry's ongoing vocational training initiative aimed at talent development and industry engagement, which maps to labor supply and fiscal human capital investment but does not convey directional enrollment, wage, or employment momentum shifts.",0.0,0.0,0.0,3.0,3.0,0.0
"Human Resources Ministry will continue strengthening TVET ecosystem to meet global challenges, says Ramanan","According to him, the employability rate of graduates of training institutes under the ministry reached 95.5% within six months of completing their training, with 85.1% finding employment in fields related to their training.","The statement describes micro-level institutional performance statistics for specific training graduates. It contains no vector regarding systemic national employment, consumption demand patterns, or any other macro dimension.",0.0,0.0,0.0,0.0,0.0,0.0
"Human Resources Ministry will continue strengthening TVET ecosystem to meet global challenges, says Ramanan","""The employer satisfaction rate reached 97.2%, thus proving the quality of training and high compatibility between the programmes offered and the actual needs of the industry,"" he said.",Statement solely references employer satisfaction with program compatibility and training quality. No systemic macro metrics or directional shifts across any of the 6 defined dimensions are indicated.,0.0,0.0,0.0,0.0,0.0,0.0
"Human Resources Ministry will continue strengthening TVET ecosystem to meet global challenges, says Ramanan","Ramanan said that for the July 2026 UP_TVET Perdana intake alone, more than 20,000 places are being offered, involving 315 TVET institutions nationwide, thereby providing wider opportunities for youth to obtain quality skills training.","The announcement describes a fixed-size micro-level training program intake (20,000 places) across specific institutions. It does not represent a systemic national GDP, aggregate employment, fiscal deficit, or external balance shift. This is a granular educational initiative, not a macro-domain signal for any of the six areas.",0.0,0.0,0.0,0.0,0.0,0.0
"Human Resources Ministry will continue strengthening TVET ecosystem to meet global challenges, says Ramanan","He said the Manpower Department continues to play a crucial role in strengthening the TVET ecosystem through a network of 33 Adtec (advanced technology centre) campuses, including the Japan Malaysia Technical Institute and the Proton Institute, as well as the satellite campuses in Senai and Anjung Muadzam.","The sentence explicitly describes a government initiative to expand and strengthen the TVET ecosystem through a network of training campuses, which is a direct improvement to national labor force capacity and skill development infrastructure.",0.0,0.0,0.0,1.0,0.0,0.0
"Human Resources Ministry will continue strengthening TVET ecosystem to meet global challenges, says Ramanan","He added that TVET training now covers 11 main clusters, including manufacturing, electronics, information and communication technology, welding, automation, transportation and electricity, as well as new technology fields such as semiconductors, robotics, cybersecurity, aerospace, renewable energy and hydrogen technology.","The text exclusively describes a technical and vocational training expansion across multiple industrial sectors. It is an educational/workforce development initiative, not a direct macro indicator for any of the six domains. No central bank policy, inflation, GDP, aggregate labor market consumption, sovereign fiscal stance, or external trade balance signal is present. This is a micro-level institutional announcement that does not map to systemic macroeconomic directional tracking.",0.0,0.0,0.0,0.0,0.0,0.0
"Human Resources Ministry will continue strengthening TVET ecosystem to meet global challenges, says Ramanan","According to him, strategic collaborations with industrial companies, including Proton, Petronas, Petros, Malaysia Aviation Group, Infineon Technologies, Huawei Technologies (Malaysia) and Micron Memory Malaysia, have also enhanced the quality of training through technology transfer, industrial training and career opportunities for graduates.","The statement describes strategic industrial collaborations aimed at enhancing training quality, technology transfer, and graduate career opportunities. This directly signals a positive structural development in the labor domain through improved workforce readiness and employment pathways. Other macro domains are not addressed.",0.0,0.0,0.0,1.0,0.0,0.0
"Human Resources Ministry will continue strengthening TVET ecosystem to meet global challenges, says Ramanan","Ramanan also emphasised that the establishment of the ministry's Kesuma Semiconductor Academy (ASK) at JMTI, Penang, was a move to expand training in the field of semiconductors and future technologies.",The government's establishment of a dedicated semiconductor training academy represents a positive fiscal investment and an expansionary structural policy for workforce development.,0.0,0.0,0.0,1.0,1.0,0.0
"Human Resources Ministry will continue strengthening TVET ecosystem to meet global challenges, says Ramanan","At the same time, he said that the Skills Development remains committed to enhancing the TVET system through the Malaysian Skills Certification System (SPKM), the Malaysian TVET Rating (MTR) and the implementation of the Malaysian Modular Skills Certificate (SKMC) to expand access to training, reskilling and upskilling.",CRITICAL PIPELINE PROCESSING FAILURE: Row flagged for manual review.,0.0,0.0,0.0,0.0,0.0,0.0
"Human Resources Ministry will continue strengthening TVET ecosystem to meet global challenges, says Ramanan","He said the Madani Inclusive TVET (Ti) approach ensures that skills training is accessible to all, including the B40 group, persons with disabilities (OKU), Orang Asli, women, marginalised youth and rural communities.","The announcement of an inclusive skills training policy framework targeted at marginalized groups signals a structural expansion of the labor force base and human capital development, which is a positive directional shift in the labor market and consumption domain.",0.0,0.0,0.0,1.0,0.0,0.0
"Human Resources Ministry will continue strengthening TVET ecosystem to meet global challenges, says Ramanan","He added that the effort was also strengthened through the Nibong Tebal Campus, which is OKU-friendly, as an example of the government's commitment to ensuring more inclusive TVET education.",CRITICAL PIPELINE PROCESSING FAILURE: Row flagged for manual review.,0.0,0.0,0.0,0.0,0.0,0.0
"Human Resources Ministry will continue strengthening TVET ecosystem to meet global challenges, says Ramanan","In addition, Ramanan said the government was strengthening the reform of the National Skills Development Act 2006 (Act 652) to improve TVET governance, expand flexible learning pathways and strengthen industry involvement in developing national talent.","Strengthening national skills development and training governance directly builds human capital and enhances labor force qualification and employability pathways, representing a structurally positive signal for the labor market.",0.0,0.0,0.0,1.0,0.0,0.0
"OECD says protracted war could drag on global growth, push up inflation","PARIS: The global economic outlook hinges on how long the war in the Middle East lasts, with recession in some countries and sharply higher inflation a real possibility if it drags on into next year, the Organisation for Economic Cooperation and Development warned on Wednesday.","The OECD warns that a prolonged Middle Eastern war creates a material risk of both sharply higher inflation and recessions in some economies, indicating escalating negative systemic pressure on prices and aggregate economic output.",0.0,2.0,2.0,0.0,0.0,0.0
"OECD says protracted war could drag on global growth, push up inflation","If the conflict proves short-lived, Gulf oil and gas production could gradually return to pre-crisis levels from the third quarter with shortages confined to Asia and cushioned by strategic reserves and shipments from other producers.",The sentence is entirely about a contingent scenario of global energy supply disruption and geographic production/shortage normalization in Gulf and Asian external trade balances.,0.0,0.0,0.0,0.0,0.0,0.0
"OECD says protracted war could drag on global growth, push up inflation","In that baseline scenario, global growth is projected to slow from 3.4% in 2025 to 2.8% in 2026 before picking up to 3.1% in 2027, broadly in line with the OECD's March forecasts.","Projected deceleration of aggregate global GDP from 3.4% to 2.8% signals a clear near-term contraction in broad economic expansion, outweighing the later recovery mention.",0.0,0.0,2.0,0.0,0.0,0.0
"OECD says protracted war could drag on global growth, push up inflation","But if energy disruption persists well into next year, global growth could slow sharply to 2.1% in 2026 and 1.8% in 2027 - rates rarely seen outside major crises such as the 2008 to 2009 financial crash or the COVID pandemic.","The sentence models a severe downside scenario where persistent energy disruption drives global growth to crisis-era levels. This directly signals a collapse in economic activity (Real_Economic_Activity), severe external supply-side stress (External_Sector), and a sharp slowdown in labor markets (Labor_Consumption). The inflation channel is implicit via energy costs (Inflation_Prices). Monetary and Fiscal are not explicitly discussed.",0.0,2.0,2.0,2.0,0.0,2.0
"OECD says protracted war could drag on global growth, push up inflation","Some economies could fall into outright recession, with Asian countries reliant on Middle East energy supplies expected to be hit hardest.","The sentence explicitly signals a systemic downturn in national output (outright recession) and highlights external sector vulnerability via energy supply dependence, both of which represent macro contraction and trade friction.",0.0,0.0,2.0,0.0,0.0,2.0
"OECD says protracted war could drag on global growth, push up inflation","Higher energy prices could add 0.4 percentage points to global inflation in 2026 and 1.3 percentage points in 2027, likely prompting central banks to hike interest rates by 0.5 to 0.75 percentage points in the short term.",CRITICAL PIPELINE PROCESSING FAILURE: Row flagged for manual review.,0.0,0.0,0.0,0.0,0.0,0.0
"OECD says protracted war could drag on global growth, push up inflation","In the baseline scenario, the OECD forecast that inflation across G20 economies would peak at 4% this year before slowing to 3.1% next year with interest rates largely on hold this year and cuts expected next year.","A forecasted disinflation path with rates on hold and future easing represents a balanced, non‑directional monitoring scenario. Neither accelerating inflation nor imminent tightening is flagged.",3.0,3.0,0.0,0.0,0.0,0.0
"OECD says protracted war could drag on global growth, push up inflation","Global trade growth is set to moderate following a strong 2025, though robust demand for AI-related goods and investment, especially in Asia, should provide some support.","The sentence states global trade growth is set to moderate, indicating a deceleration in external sector activity. The counteracting point about AI-related demand is a supportive factor but does not reverse the overall direction of moderation.",0.0,0.0,0.0,0.0,0.0,2.0
"OECD says protracted war could drag on global growth, push up inflation","UNEVEN OUTLOOKS ACROSS MAJOR ECONOMIES In the baseline scenario, stronger energy exports are expected to support U.S. growth, partly offsetting the drag from higher prices on household purchasing power.","The sentence presents a balanced, objective baseline outlook: stronger exports support growth (positive for external sector and real activity) but are partly offset by the drag from higher prices on households (negative for consumption/purchasing power). The net effect is a trade-off with no clear directional dominance, warranting neutral labels on the directly affected dimensions.",0.0,3.0,3.0,3.0,0.0,3.0
"OECD says protracted war could drag on global growth, push up inflation",Growth is projected to ease from 2.1% in 2025 to 2.0% in 2026 and 1.8% in 2027.,"A projected deceleration in headline GDP growth from 2.1% to 1.8% represents a cooling of aggregate national economic output, which is a real economic activity slowdown signal.",0.0,0.0,2.0,0.0,0.0,0.0
"OECD says protracted war could drag on global growth, push up inflation","In Europe, euro zone growth was seen slowing from 1.4% to 0.8% this year before rising to 1.2% next year as resilient labour markets and higher defence spending help offset government belt-tightening.","The headline indicates decelerating aggregate GDP activity, which is a downshift from prior expectations. The offsetting details (labor resilience, defense spending) are contextual but do not negate the primary deceleration vector.",0.0,0.0,2.0,1.0,2.0,0.0
"OECD says protracted war could drag on global growth, push up inflation","In Britain, growth is projected to slow to 0.9% this year before recovering to 1.1% in 2027 as global trade stabilises and financial conditions ease.",CRITICAL PIPELINE PROCESSING FAILURE: Row flagged for manual review.,0.0,0.0,0.0,0.0,0.0,0.0
"OECD says protracted war could drag on global growth, push up inflation","In Asia, China was seen slowing from 5.0% growth in 2025 to 4.5% in 2026 and 4.3% in 2027 with ample energy reserves limiting exposure to oil price spikes.","The sentence explicitly forecasts a deceleration in GDP growth for China (from 5.0% to 4.5% to 4.3%), which is a clear negative signal for national economic output. The mention of ample energy reserves is a mitigating factor but doesn't indicate positive momentum, and no other domains are signaled.",0.0,0.0,2.0,0.0,0.0,3.0
